Category,Count,Source,ACS_Year,Geography
Total:!!Female:,78266177,C24030_Industry,2023,United States
"Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:",570440,C24030_Industry,2023,United States
"Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting",484572,C24030_Industry,2023,United States
"Total:!!Female:!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction",85868,C24030_Industry,2023,United States
Total:!!Female:!!Construction,1301361,C24030_Industry,2023,United States
Total:!!Female:!!Manufacturing,4806968,C24030_Industry,2023,United States
Total:!!Female:!!Wholesale trade,1038111,C24030_Industry,2023,United States
Total:!!Female:!!Retail trade,8321921,C24030_Industry,2023,United States
"Total:!!Female:!!Transportation and warehousing, and utilities:",2561923,C24030_Industry,2023,United States
"Total:!!Female:!!Transportation and warehousing, and utilities:!!Transportation and warehousing",2226666,C24030_Industry,2023,United States
"Total:!!Female:!!Transportation and warehousing, and utilities:!!Utilities",335257,C24030_Industry,2023,United States
Total:!!Female:!!Information,1220422,C24030_Industry,2023,United States
"Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:",5775107,C24030_Industry,2023,United States
"Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:!!Finance and insurance",4345839,C24030_Industry,2023,United States
"Total:!!Female:!!Finance and insurance, and real estate, and rental and leasing:!!Real estate and rental and leasing",1429268,C24030_Industry,2023,United States
"Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:",9087454,C24030_Industry,2023,United States
"Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Professional, scientific, and technical services",6107912,C24030_Industry,2023,United States
"Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Management of companies and enterprises",86697,C24030_Industry,2023,United States
"Total:!!Female:!!Professional, scientific, and management, and administrative, and waste management services:!!Administrative and support and waste management services",2892845,C24030_Industry,2023,United States
"Total:!!Female:!!Educational services, and health care and social assistance:",28434198,C24030_Industry,2023,United States
"Total:!!Female:!!Educational services, and health care and social assistance:!!Educational services",10616859,C24030_Industry,2023,United States
"Total:!!Female:!!Educational services, and health care and social assistance:!!Health care and social assistance",17817339,C24030_Industry,2023,United States
"Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:",7468193,C24030_Industry,2023,United States
"Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation",1605379,C24030_Industry,2023,United States
"Total:!!Female:!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services",5862814,C24030_Industry,2023,United States
"Total:!!Female:!!Other services, except public administration",4194236,C24030_Industry,2023,United States
Total:!!Female:!!Public administration,3485843,C24030_Industry,2023,United States
